,Domain,SuperGroup,Kingdom,Phylum,Subphylum/Class,Class/Order,Genus
OTU_103,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Acomoptera
OTU_104,Eukaryota,Amoebozoa,Conosa,Variosea,Variosea_X,Acramoebidae,Acramoeba
OTU_105,Eukaryota,Amoebozoa,Conosa,Variosea,Variosea_X,Acramoebidae,Acramoebidae_X
OTU_106,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Acremonium
OTU_107,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Acricotopus
OTU_108,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Acrobeles
OTU_109,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Acrobeloides
OTU_110,Eukaryota,Opisthokonta,Metazoa,Platyhelminthes,Turbellaria,Rhabdocoela,Acrochordonoposthia
OTU_111,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Arachnida,Acrogalumna
OTU_112,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Acropsilus
OTU_114,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,Acrospermum
OTU_115,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Acrotona
OTU_116,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Acrotrichis
OTU_117,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Actaea
OTU_120,Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellales_X,Actinastrum
OTU_122,Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Neogregarinorida,Actinocephalidae,Actinocephalidae_NEO1
OTU_127,Eukaryota,Opisthokonta,Fungi,Mucoromycota,Mucoromycotina,Mucoromycotina_X,Actinomucor
OTU_130,Eukaryota,Stramenopiles,Opalozoa,Opalinata,Opalinata_X,Nucleohelea,Actinosphaerium
OTU_132,Eukaryota,Archaeplastida,Streptophyta,Zygnemophyceae,Zygnemophyceae_X,Zygnemophyceae_XX,Actinotaenium
OTU_134,Eukaryota,Opisthokonta,Metazoa,Nematoda,Enoplea,Enoplea_X,Actus
OTU_135,Eukaryota,Opisthokonta,Metazoa,Mollusca,Gastropoda,Heterobranchia,Acusta
OTU_137,Eukaryota,Opisthokonta,Metazoa,Tardigrada,Tardigrada_X,Tardigrada_XX,Acutuncus
OTU_138,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Acyrthosiphon
OTU_139,Eukaryota,Alveolata,Apicomplexa,Coccidiomorphea,Adeleida,Adeleidae,Adelina
OTU_140,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Adenia
OTU_141,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Adenocline
OTU_142,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Adenolinum
OTU_143,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Adenostoma
OTU_144,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Aderorhinus
OTU_145,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Adiantum
OTU_146,Eukaryota:mito,Archaeplastida:mito,Streptophyta:mito,Embryophyceae:mito,Embryophyceae_X:mito,Embryophyceae_XX:mito,Adiantum:mito
OTU_148,Eukaryota,Opisthokonta,Metazoa,Rotifera,Rotifera_X,Rotifera_XX,Adineta
OTU_149,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Admontia
OTU_150,Eukaryota,Stramenopiles,Opalozoa,Bicoecea,Pseudodendromonadales,Pseudodendromonadales_X,Adriamonas
OTU_151,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Adriana
OTU_153,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Aechmea
OTU_154,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Aedes
OTU_155,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Aegialitis
OTU_156,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Aegiceras
OTU_157,Eukaryota,Opisthokonta,Metazoa,Annelida,Annelida_X,Annelida_XX,Aeolosoma
OTU_158,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Aeolothrips
OTU_163,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Arachnida,Aeroppia
OTU_164,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Aeschynanthus
OTU_165,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Aesculus
OTU_168,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Aextoxicon
OTU_171,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,African
