,Domain,SuperGroup,Kingdom,Phylum,Subphylum/Class,Class/Order,Genus
OTU_911,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Bruguiera
OTU_914,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Bryobrittonia
OTU_915,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Bryocamptus
OTU_916,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Lecanoromycetes,Bryocaulon
OTU_918,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,Bryochiton
OTU_919,Eukaryota,Opisthokonta,Metazoa,Annelida,Annelida_X,Annelida_XX,Bryodrilus
OTU_920,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Leotiomycetes,Bryoglossum
OTU_921,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Bursariomorphida,Bryometopus
OTU_922,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Colpodida,Bryophrya
OTU_923,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Colpodida,Bryophryoides
OTU_924,Eukaryota,Opisthokonta,Metazoa,Platyhelminthes,Turbellaria,Rhabdocoela,Bryoplana
OTU_927,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Bryoxiphium
OTU_928,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Bryum
OTU_930,Eukaryota,Opisthokonta,Metazoa,Annelida,Annelida_X,Annelida_XX,Buchholzia
OTU_933,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Lecanoromycetes,Buellia
OTU_934,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Buergenerula
OTU_935,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Bulbithecium
OTU_936,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Leotiomycetes,Bulgaria
OTU_937,Eukaryota,Opisthokonta,Metazoa,Mollusca,Gastropoda,Heterobranchia,Bullacta
OTU_938,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Tremellomycetes,Bullera
OTU_939,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Tremellomycetes,Bulleromyces
OTU_940,Eukaryota,Amoebozoa,Lobosa,Tubulinea,Arcellinida,Arcellinida-A1,Bullinularia
OTU_942,Eukaryota,Stramenopiles,Ochrophyta,Xanthophyceae,Xanthophyceae_X,Xanthophyceae_XX,Bumilleriopsis
OTU_943,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Bunchosia
OTU_944,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Lecanoromycetes,Bunodophoron
OTU_945,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Bunonema
OTU_946,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Burgoa
OTU_949,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Burmannia
OTU_950,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Bursaphelenchus
OTU_951,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Bursariomorphida,Bursariomorphida_X
OTU_952,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Bursera
OTU_954,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Buxbaumia
OTU_956,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Byrsonima
OTU_957,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Leotiomycetes,Byssoascus
OTU_958,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,Byssochlamys
OTU_959,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Lecanoromycetes,Byssoloma
OTU_960,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,Byssolophis
OTU_961,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Pezizomycetes,Byssonectria
OTU_962,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,Byssothecium
OTU_968,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Ventricleftida,CCW10-lineage,CCW10-lineage_X
OTU_971,Eukaryota,Alveolata,Ciliophora,CONTH_1,CONTH_1_X,CONTH_1_XX,CONTH_1_XXX
OTU_972,Eukaryota,Alveolata,Ciliophora,CONTH_4,CONTH_4_X,CONTH_4_XX,CONTH_4_XXX
OTU_973,Eukaryota,Alveolata,Ciliophora,CONTH_6,CONTH_6_X,CONTH_6_XX,CONTH_6_XXX
OTU_974,Eukaryota,Alveolata,Ciliophora,CONThreeP,CONThreeP_X,CONThreeP_XX,CONThreeP_XXX
OTU_975,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Cabomba
OTU_976,Eukaryota,Stramenopiles,Opalozoa,Bicoecea,Anoecales,Caecitellaceae,Caecitellus
OTU_978,Eukaryota,Alveolata,Ciliophora,Armophorea,Armophorea_X,Caenomorphidae,Caenomorphidae_X
OTU_979,Eukaryota,Opisthokonta,Metazoa,Echinodermata,Echinodermata_X,Echinodermata_XX,Caenopedina
OTU_980,Eukaryota,Opisthokonta,Metazoa,Platyhelminthes,Turbellaria,Seriata,Caenoplana
OTU_981,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Caenorhinus
OTU_982,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Leotiomycetes,Caespitotheca
OTU_983,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Cainia
OTU_984,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Calamus
OTU_985,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Calathella
OTU_986,Eukaryota,Opisthokonta,Fungi,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Calcarisporiella
OTU_987,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Calcarisporium
OTU_988,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Arachnida,Calcealges
OTU_999,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Calectasia
OTU_1000,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Pezizomycotina_X,Caliciopsis
OTU_1001,Eukaryota,Opisthokonta,Metazoa,Nematoda,Enoplea,Enoplea_X,Californidorus
OTU_1002,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Callibaetis
OTU_1003,Eukaryota,Opisthokonta,Metazoa,Annelida,Annelida_X,Annelida_XX,Calliobdella
OTU_1004,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Pycnogonida,Callipallene
OTU_1005,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Callistosporium
OTU_1006,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Callitriche
OTU_1007,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Collembola,Callyntrura
OTU_1009,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Dacrymycetes,Calocera
OTU_1010,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Calochortus
OTU_1011,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Calocybe
OTU_1012,Eukaryota,Opisthokonta,Metazoa,Tardigrada,Tardigrada_X,Tardigrada_XX,Calohypsibius
OTU_1013,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Lecanoromycetes,Caloplaca
OTU_1014,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Calopteron
OTU_1015,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Pezizomycetes,Caloscypha
OTU_1016,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Calosphaeria
OTU_1017,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Calostoma
OTU_1020,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Calvatia
OTU_1021,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Calybe
OTU_1023,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Leotiomycetes,Calycellinopsis
OTU_1024,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Arachnida,Calymmaria
OTU_1026,Eukaryota,Opisthokonta,Metazoa,Mollusca,Bivalvia,Heteroconchia,Calyptogena
OTU_1027,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Lecanoromycetes,Calyptrozyma
OTU_1028,Eukaryota,Opisthokonta,Metazoa,Porifera,Porifera_X,Demospongiae,Calyx
OTU_1029,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Camarophyllopsis
OTU_1030,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Camarophyllus
OTU_1031,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Camarops
OTU_1033,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Camelina
OTU_1034,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Camellia
OTU_1037,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Arachnida,Camisia
OTU_1038,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Peritrichia_2,Sessilida,Campanella
OTU_1039,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Campanella_fungus
OTU_1040,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Campanula
OTU_1041,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Diplura,Campodea
OTU_1042,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Diplura,Campodeidae
OTU_1043,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Camponotus
OTU_1044,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Campsomeris
OTU_1045,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Pucciniomycotina,Microbotryomycetes,Camptobasidium
OTU_1046,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Camptomyia
OTU_1047,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,Camptophora
OTU_1048,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Camptostylus
OTU_1049,Eukaryota,Opisthokonta,Metazoa,Nematoda,Enoplea,Enoplea_X,Campydora
OTU_1050,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Campylandra
OTU_1052,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Canalohypopterygium
OTU_1053,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Candelabrochaete
OTU_1054,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Lecanoromycetes,Candelariella
OTU_1055,Eukaryota,Opisthokonta,Fungi,Ascomycota,Saccharomycotina,Saccharomycetales,Candida
OTU_1128,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Ostracoda,Candona
OTU_1129,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Canella
OTU_1130,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Arachnida,Canestrinia
OTU_1131,Eukaryota,Opisthokonta,Metazoa,Platyhelminthes,Turbellaria,Rhabdocoela,Canetellia
OTU_1132,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Canna
OTU_1133,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Canotia
OTU_1134,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Cantharellula
OTU_1135,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Cantharellus
OTU_1136,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Cantharocybe
OTU_1137,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Cantua
OTU_1138,Eukaryota,Opisthokonta,Metazoa,Annelida,Annelida_X,Annelida_XX,Capilloventer
OTU_1139,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,Capnobotryella
OTU_1141,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,Capnodiales
OTU_1142,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,Capnodium
OTU_1144,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,Capronia
OTU_1145,Eukaryota,Opisthokonta,Mesomycetozoa,Filasterea,Capsasporida,Capsasporidae,Capsaspora
OTU_1146,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Rhogostoma-lineage,Capsellina
OTU_1147,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Capsicum
OTU_1148,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Arachnida,Carabodes
OTU_1149,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Carabus
OTU_1150,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Carallia
OTU_1151,Eukaryota,Opisthokonta,Metazoa,Nematoda,Enoplea,Enoplea_X,Carcharodiscus
OTU_1152,Eukaryota,Opisthokonta,Metazoa,Platyhelminthes,Turbellaria,Rhabdocoela,Carcharodopharynx
OTU_1153,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Peritrichia_2,Sessilida,Carchesium
OTU_1154,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Merostomata,Carcinoscorpius
OTU_1155,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Cardiocladius
OTU_1156,Eukaryota,Opisthokonta,Metazoa,Mollusca,Bivalvia,Heteroconchia,Cardiolucina
OTU_1157,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Cardiophorus
OTU_1158,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Cardiopteris
OTU_1159,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Carex
OTU_1160,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Carica
OTU_1161,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Carientothrips
OTU_1163,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Carpoligna
OTU_1164,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Carteria
OTU_1165,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Carya
OTU_1166,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Caryodendron
OTU_1168,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Caryota
OTU_1169,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Casearia
OTU_1170,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Leotiomycetes,Cashiella
OTU_1173,Eukaryota,Opisthokonta,Metazoa,Platyhelminthes,Turbellaria,Rhabdocoela,Castrada
OTU_1174,Eukaryota,Opisthokonta,Metazoa,Platyhelminthes,Turbellaria,Rhabdocoela,Castrella
OTU_1175,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Casuarina
OTU_1176,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Catalpa
OTU_1177,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,Catapyrenium
OTU_1178,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Catathelasma
OTU_1179,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Cataulacus
OTU_1181,Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellales_X,Catena
OTU_1182,Eukaryota,Opisthokonta,Fungi,Blastocladiomycota,Blastocladiomycotina,Blastocladiomycetes,Catenaria
OTU_1183,Eukaryota,Opisthokonta,Fungi,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Catenochytridium
OTU_1184,Eukaryota,Opisthokonta,Fungi,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Catenomyces
OTU_1185,Eukaryota,Opisthokonta,Fungi,Blastocladiomycota,Blastocladiomycotina,Blastocladiomycetes,Catenophlyctis
OTU_1186,Eukaryota,Opisthokonta,Metazoa,Platyhelminthes,Turbellaria,Catenulida,Catenula
OTU_1187,Eukaryota,Opisthokonta,Metazoa,Platyhelminthes,Turbellaria,Catenulida,Catenulida_X
OTU_1189,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,Catenulostroma
OTU_1190,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Cathaya
OTU_1191,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Cathedra
OTU_1192,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Pezizomycotina_X,Catinella
OTU_1194,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Cattiena
OTU_1197,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Cercomonadida,Cercomonadidae,Cavernomonas
OTU_1199,Eukaryota,Amoebozoa,Conosa,Variosea,Variosea_X,Cavosteliids,Cavostelium
OTU_1200,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Pezizomycetes,Cazia
OTU_1201,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Ceanothus
OTU_1203,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Cedrus
OTU_1205,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Celastrus
OTU_1211,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Celtis
OTU_1212,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Cenchrus
OTU_1213,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,Cenococcum
OTU_1214,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Centaurium
OTU_1215,Eukaryota,Hacrobia,Centroheliozoa,Centroheliozoa_X,Centroheliozoa_XX,Centroheliozoa_XXX,Centroheliozoa_XXXX
OTU_1216,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Arachnida,Centromerus
OTU_1217,Eukaryota,Opisthokonta,Metazoa,Mollusca,Gastropoda,Heterobranchia,Cepaea
OTU_1218,Eukaryota,Opisthokonta,Fungi,Mucoromycota,Mucoromycotina,Mucoromycotina_X,Cepedea
OTU_1219,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Cephalanthus
OTU_1220,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Cephalenchus
OTU_1221,Eukaryota,Archaeplastida,Chlorophyta,Ulvophyceae,Trentepohliales,Trentepohliales_X,Cephaleuros
OTU_1222,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Pezizomycetes,Cephaliophora
OTU_1223,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Cephaloboides
OTU_1224,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Cephalobus
OTU_1225,Eukaryota,Opisthokonta,Metazoa,Rotifera,Rotifera_X,Rotifera_XX,Cephalodella
OTU_1226,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Cephalotaxus
OTU_1227,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Cephalotheca
OTU_1229,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Arachnida,Cepheus
OTU_1230,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Cephus
OTU_1231,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Ceraceomyces
OTU_1232,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,Ceramothyrium
OTU_1234,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Cerastium
OTU_1235,Eukaryota,Amoebozoa,Conosa,Variosea,Variosea_X,Schizoplasmodiids,Ceratiomyxella
OTU_1236,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Ceratiosicyos
OTU_1237,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Ceratobasidium
OTU_1238,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Ceratocystiopsis
OTU_1239,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Ceratocystis
OTU_1240,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Ceratodon
OTU_1241,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Ceratolenta
OTU_1242,Eukaryota,Opisthokonta,Metazoa,Annelida,Annelida_X,Annelida_XX,Ceratonereis
OTU_1243,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Ceratoplectus
OTU_1244,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Arachnida,Ceratoppia
OTU_1245,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Ceratopteris
OTU_1246,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Ceratosphaeria
OTU_1247,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Ceratozamia
OTU_1248,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Cerbera
OTU_1249,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Cercomonadida,Cercomonadidae,Cercomonadidae_X
OTU_1250,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Cercomonadida,Cercomonadidae,Cercomonas
OTU_1251,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Cercophora
OTU_1252,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,Cercospora
OTU_1253,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Cryomonadida_X,Cercozoa-01
OTU_1254,Eukaryota,Rhizaria,Cercozoa,Cercozoa_X,Cercozoa_XX,Cercozoa_XXX,Cercozoa_XXXX
OTU_1255,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Dacrymycetes,Cerinomyces
OTU_1256,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Ceriporia
OTU_1257,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Ceriporiopsis
OTU_1258,Eukaryota,Opisthokonta,Metazoa,Annelida,Annelida_X,Annelida_XX,Cernosvitoviella
OTU_1259,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Hexapoda,Insecta,Ceroglossus
OTU_1260,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Arachnida,Cerophagus
OTU_1261,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Cerrena
OTU_1262,Eukaryota,Opisthokonta,Metazoa,Nematoda,Chromadorea,Chromadorea_X,Cervidellus
OTU_1263,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Lecanoromycetes,Cetraria
OTU_1264,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,Chaenotheca
OTU_1265,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Pezizomycotina_X,Chaenothecopsis
OTU_1266,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Chaetocalathus
OTU_1267,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Chaetocarpus
OTU_1269,Eukaryota,Opisthokonta,Fungi,Mucoromycota,Mucoromycotina,Mucoromycotina_X,Chaetocladium
OTU_1270,Eukaryota,Opisthokonta,Metazoa,Annelida,Annelida_X,Annelida_XX,Chaetogaster
OTU_1271,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Leotiomycetes,Chaetomella
OTU_1272,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Chaetomium
OTU_1273,Eukaryota,Opisthokonta,Metazoa,Gastrotricha,Gastrotricha_X,Gastrotricha_XX,Chaetonotus
OTU_1274,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,Chaetopsina
OTU_1275,Eukaryota,Opisthokonta,Metazoa,Annelida,Annelida_X,Annelida_XX,Chaetopterus
OTU_1276,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Eurotiomycetes,Chaetosartorya
